"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"5512",363.853685213131,0.958768384706872,0.153365418038983,6.25152917108842,4.06453162227398e-10,3.45934533097761e-08
"1529",107.416433197202,2.74320909072725,0.440116354027375,6.23291787643187,4.57826212737591e-10,3.86777296197426e-08
"4371",10.1849998855908,2.76590478385404,0.443786368329731,6.23251406811799,4.59008304514865e-10,3.86777296197426e-08
"20339",75.6753654574085,3.46199817872241,0.556571210073751,6.22022504229722,4.96442322393732e-10,4.16249683880329e-08
"806",508.941936148495,1.58014590407942,0.254071705223348,6.21929113550977,4.99405913861495e-10,4.16671820840992e-08
"2590",207.145647035775,8.66771175178114,1.39402979340945,6.21773780787144,5.04373413622146e-10,4.18753554241093e-08
"17765",1109.9244621135,2.01258083733412,0.323807130649572,6.21536910968201,5.12041409972591e-10,4.23046115156379e-08
"1858",67.9763537767789,7.79007758317795,1.25369006504644,6.2137188451672,5.17450797723896e-10,4.25440007817943e-08
"7930",261.418074977865,3.51987060266032,0.567034482226479,6.20750714989931,5.38316605635275e-10,4.40457408195394e-08
"11547",96.5341883485988,2.29800735067536,0.370396570244412,6.20418096517196,5.49824893539441e-10,4.47710779897958e-08
"17146",593.252210864448,1.73280286574046,0.279704644704964,6.19511652217372,5.82419269800231e-10,4.71982544143853e-08
"16907",287.301692080904,2.43942151596933,0.39389070645712,6.19314311299926,5.89761341432989e-10,4.75656563802406e-08
"12381",1382.62517909034,2.10408810274632,0.339998515175881,6.18852144591829,6.07311465655509e-10,4.87489776957694e-08
"11690",666.460437069748,2.06726547626944,0.335438732200331,6.16287052693374,7.14379168393064e-10,5.68048825120813e-08
"15542",138.014400768445,1.44128678477715,0.233843992156417,6.16345441029371,7.11748770407045e-10,5.68048825120813e-08
"765",2437.50784598775,1.53818647197675,0.249719297421933,6.1596620199431,7.29003621663555e-10,5.76968894397926e-08
"8821",9.58271684388039,5.47521052911304,0.889388463091661,6.15615195870689,7.45337112887316e-10,5.87152310742905e-08
"17993",436.335287178563,1.36864052523044,0.222624871351799,6.14774313813154,7.85931708384925e-10,6.16265062264605e-08
"7872",25.9904236894048,2.90040647081079,0.473407996151972,6.12665289641562,8.97469626558803e-10,7.00481247236242e-08
"16834",11.8520720194045,3.65126461767786,0.596078120025473,6.12548002520512,9.04106136443885e-10,7.02424111603215e-08
"17287",3363.97091508368,1.85045228544654,0.303305487338762,6.1009522171281,1.05438427678928e-09,8.15438652784476e-08
"570",588.237862452988,2.01198508301759,0.329991258311757,6.09708600558377,1.08019409749555e-09,8.31602155876463e-08
